Date,Path_1,Path_2,Path_3,Path_4,Path_5,Path_6,Path_7,Path_8,Path_9
1/30/2020,325.764404,383.3537393,253.3001536,264.1178075,337.5146227,313.4069727,320.8144774,245.0499084,301.3323626
1/31/2020,319.849213,376.8150705,255.9645307,270.1737327,333.8634916,312.9814173,320.962654,245.0787581,294.5330708
2/3/2020,322.22522,373.9276426,257.5946449,263.9827749,335.4619326,311.8713435,323.0883128,247.0469572,299.8323604
2/4/2020,327.136353,377.499707,259.4562954,265.1371949,341.7576753,314.3233446,323.2606723,247.8959938,305.3037449
2/5/2020,330.914124,381.4233978,251.5090472,265.1314448,332.1471191,311.6994622,321.3554398,248.3464133,310.9176698
2/6/2020,332.027588,376.1430266,251.2686179,265.5936756,333.3859797,308.9591796,316.4728565,252.085358,310.6982451
2/7/2020,330.257996,376.4161224,250.8043264,270.5584332,344.0948969,303.857978,319.1096006,257.272686,303.7897744
2/10/2020,332.72348,377.6277771,255.3466276,272.2565536,350.9484368,308.5053415,323.8929154,259.161121,309.3678712
2/11/2020,333.30011,381.0818304,249.7836492,267.4842029,348.748518,299.7996058,315.1370449,259.2900644,300.6896022
2/12/2020,335.447479,399.2975534,254.7553877,263.9315959,351.0153153,301.2355634,316.4405398,260.096673,304.9651713
2/13/2020,335.089569,399.0825564,257.5984359,264.9038489,348.9158876,300.6656212,316.1862112,258.2387446,308.5513346
2/14/2020,335.626434,397.2479317,260.6707277,261.3189539,343.9175733,307.6324748,315.5939241,261.6624355,312.6663218
2/18/2020,334.761505,404.0815675,260.4877587,260.482005,355.2462136,314.7307753,309.530974,259.6001108,303.0910305
2/19/2020,336.362091,409.670469,254.8250914,259.6016211,356.3581501,326.9970332,308.9130137,262.5099226,307.3689311
2/20/2020,334.980225,410.2147278,252.8749193,256.6239259,345.5819663,327.8779615,313.4214471,257.5908323,309.4438408
2/21/2020,331.530518,410.1484587,255.994956,254.5458804,346.8236303,314.1115315,315.6701946,258.7629638,322.6864082
2/24/2020,320.535187,400.9838881,259.5034925,251.3341602,341.7038596,307.4674479,314.7046445,258.3365782,330.9511481
2/25/2020,310.822266,402.3801508,265.9371853,248.2328245,342.1577756,319.3027647,319.0612563,256.5669527,331.7676203
2/26/2020,309.678986,402.9630755,266.254466,249.3271119,324.9007174,325.409638,327.5522622,257.6106986,333.1141709
2/27/2020,295.770782,395.7040069,275.7850656,244.8316839,324.1198051,322.377127,320.3593517,261.1209108,338.9522832
2/28/2020,294.528107,385.175818,276.136071,249.2257054,318.3269406,314.6648927,320.5367746,261.8051397,329.8445254
3/2/2020,307.283081,382.1170918,280.9707456,248.4647604,313.6799854,315.4762063,334.359605,263.7069948,333.8092147
3/3/2020,298.484802,387.9518357,283.0086921,247.3692462,310.8392264,318.0578847,342.8661094,273.3956565,334.7709072
3/4/2020,311.031036,384.9057215,285.8419407,251.9247114,311.5093254,314.6944131,355.8966132,277.2340779,336.619813
3/5/2020,300.691833,375.0110788,283.7561385,255.6527762,315.5964676,315.2642952,363.5529802,271.6313982,321.2390028
3/6/2020,295.721069,364.9469288,288.8992736,251.2654354,311.0329645,308.1860792,363.8973144,280.2233522,320.4457213
3/9/2020,272.626892,364.1974829,290.3873798,254.0421885,303.9453288,306.3627188,359.021896,276.633899,325.0439016
3/10/2020,286.733948,362.2272948,286.7594023,258.394141,296.4619102,302.1629058,357.3417795,278.5805529,326.538373
3/11/2020,272.756104,355.6775623,292.3714196,260.076543,298.6786471,304.9428964,360.6133516,281.5760882,331.8596777
3/12/2020,246.659576,360.6193876,295.9116763,261.2677927,307.3000095,306.7057532,350.9057849,282.6622715,331.7422026
3/13/2020,267.745575,358.2812549,302.8608198,261.3851179,305.5765086,308.6997475,340.0148876,284.1160465,337.3566712
3/16/2020,238.447861,368.3226,292.5440436,263.3839052,304.3943433,307.0833984,345.4793012,279.3955982,345.1690719
3/17/2020,251.322159,362.6819132,291.4967945,267.1148532,311.4918577,306.4729733,346.6541653,277.9968602,341.5925813
3/18/2020,238.596985,364.1287525,282.8123946,266.2400023,302.362777,307.2165452,353.4160033,277.3575979,328.2672818
3/19/2020,239.103989,362.0590595,279.8762237,265.7178095,299.4163327,306.1356436,344.8171054,283.0919412,338.1593076
3/20/2020,228.800003,367.8093169,281.8222917,262.881907,298.3570305,310.467669,339.78536,287.5875213,342.792916
3/23/2020,222.949997,354.4606906,288.4260904,260.6736488,296.2111817,305.4151926,335.6137901,286.0214365,348.4236982
3/24/2020,243.149994,344.5881481,284.9416159,259.0522209,299.9878673,302.9817261,339.7559834,277.5495891,364.3552485
3/25/2020,246.789993,334.8915246,281.6661586,256.4330969,295.3491119,301.2465521,334.6480557,280.4448013,356.9699696
3/26/2020,261.200012,337.6329092,280.3178926,256.2238773,290.2950698,299.5408146,331.7469839,291.4693872,360.312205
3/27/2020,253.419998,332.1441382,271.8152347,255.9376055,284.9449794,296.7492429,323.1604931,293.0771718,364.5391069
3/30/2020,261.649994,336.7289923,274.6567463,251.0274224,280.1228163,302.7184766,321.2249739,293.5708785,363.9109677
3/31/2020,257.75,346.6543932,275.2444848,251.2954453,272.6529958,302.3274996,323.3008935,294.6833643,354.9384308
4/1/2020,246.149994,349.8931518,270.5138142,249.5176227,279.4711495,302.6966331,325.6529339,299.4477895,358.3143924
4/2/2020,251.830002,334.8675137,270.579819,251.8124505,282.5839177,293.6727275,321.9516492,295.7449938,359.7855854
4/3/2020,248.190002,335.7625677,269.4080061,244.8088505,279.4853042,293.4831586,324.8619424,291.4329884,363.2329181
4/6/2020,264.859985,323.5868481,276.10906,238.8071986,278.3887276,290.582978,326.14887,294.4721696,367.5279259
4/7/2020,265.130005,325.1347529,282.9802743,236.068561,278.6433228,290.3245576,320.8036314,294.4192406,365.5501202
4/8/2020,274.029999,339.6872845,287.4655688,245.2187908,277.8122178,287.4382019,329.5877259,291.9762479,380.6188999
4/9/2020,278.200012,334.6621929,282.5369296,244.5921253,271.0173868,286.4349277,335.7950495,281.8384799,387.3811827
4/13/2020,275.660004,323.401776,280.0931985,246.8478988,268.048857,287.2951475,338.1005058,279.8411917,384.4279771
4/14/2020,283.790009,337.7033392,281.1207073,245.4649921,270.5361856,279.6473719,326.2318412,276.352416,380.7565384
4/15/2020,277.76001,335.1198493,274.334141,244.6884544,273.5225637,280.2117675,329.2324464,268.5739702,390.1103255
4/16/2020,279.100006,337.2839797,276.5366342,249.782021,267.0051806,288.657266,328.9024613,275.7771927,403.6343475
4/17/2020,286.640015,339.2555503,277.0982272,255.312754,270.0233063,295.2640477,331.6682692,275.1159372,404.7823128
4/20/2020,281.589996,342.633755,279.7334039,258.6280695,266.2152399,301.7351394,334.3353146,280.7514771,408.6033625
